status;duration;credit_history;purpose;amount;savings;employment_duration;installment_rate;personal_status_sex;other_debtors;present_residence;property;age;other_installment_plans;housing;number_credits;job;people_liable;telephone;foreign_worker;credit_risk
no checking account;12;no credits taken or all credits paid back duly;others;2579;unknown or no savings account; less than  1 yr; less than  20;male : married or widowed;none; less than  1 yr;unknown  or  no property;33;none;rent;1;unskilled - resident;3 or more;no;no;bad
less than 0 DM;36;existing credits paid back duly till now;others;2225;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;real estate;57;bank;own;3-Feb;skilled employee or official;0 to 2;yes;no;bad
no checking account;18;no credits taken or all credits paid back duly;car (used);4153;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;co-applicant;4 between 7 yrs;building soc. savings agr. or life insurance;42;none;rent;1;skilled employee or official;0 to 2;no;no;bad
no checking account;18;delay in paying off in the past;car (used);3114;unknown or no savings account; less than  1 yr; more than  35;female : non-single or male : single;none; more than  7 yrs;car or other;26;none;for free;1;skilled employee or official;0 to 2;no;no;bad
no checking account;18;all credits at this bank paid back duly;car (used);2124;unknown or no savings account;1 between 4 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;unknown  or  no property;24;none;for free;3-Feb;skilled employee or official;0 to 2;no;no;bad
no checking account;18;critical account or other credits elsewhere;car (used);1553;unknown or no savings account;1 between 4 yrs; less than  20;male : married or widowed;none;4 between 7 yrs;building soc. savings agr. or life insurance;44;bank;rent;1;skilled employee or official;0 to 2;no;no;bad
no checking account;30;no credits taken or all credits paid back duly;car (used);2406;unknown or no savings account;4 between 7 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;unknown  or  no property;23;none;for free;1;skilled employee or official;0 to 2;no;no;bad
no checking account;24;existing credits paid back duly till now;others;1333;unknown or no savings account;unemployed; less than  20;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;43;none;own;3-Feb;skilled employee or official;3 or more;no;no;bad
no checking account;48;delay in paying off in the past;car (used);7119;unknown or no savings account;1 between 4 yrs;20 between 25;male : married or widowed;none; more than  7 yrs;real estate;53;none;own;3-Feb;skilled employee or official;3 or more;no;no;bad
no checking account;24;existing credits paid back duly till now;others;4870;unknown or no savings account;1 between 4 yrs;20 between 25;male : married or widowed;none; more than  7 yrs;real estate;53;none;own;3-Feb;skilled employee or official;3 or more;no;no;bad
no checking account;12;all credits at this bank paid back duly;others;691;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none;4 between 7 yrs;car or other;35;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;bad
no checking account;42;existing credits paid back duly till now;furniture or equipment;4370;unknown or no savings account;4 between 7 yrs;20 between 25;male : married or widowed;none;1 between 4 yrs;car or other;26;bank;rent;3-Feb;skilled employee or official;3 or more;yes;no;bad
no checking account;36;critical account or other credits elsewhere;car (used);2746;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;31;bank;rent;1;skilled employee or official;0 to 2;no;no;bad
no checking account;24;delay in paying off in the past;car (used);4110;unknown or no savings account; more than  7 yrs;20 between 25;male : married or widowed;none; more than  7 yrs;real estate;23;bank;for free;3-Feb;skilled employee or official;3 or more;no;no;bad
no checking account;18;no credits taken or all credits paid back duly;car (used);2462;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;22;none;rent;1;skilled employee or official;0 to 2;no;no;bad
no checking account;12;no credits taken or all credits paid back duly;car (used);1282;unknown or no savings account;1 between 4 yrs;25 between 35;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;20;none;for free;1;skilled employee or official;0 to 2;no;no;bad
less than 0 DM;12;delay in paying off in the past;car (used);2969;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;none;4 between 7 yrs;car or other;25;none;for free;3-Feb;skilled employee or official;0 to 2;no;no;bad
no checking account;48;delay in paying off in the past;car (new);4605;unknown or no savings account; more than  7 yrs;20 between 25;male : married or widowed;none; more than  7 yrs;real estate;24;none;own;3-Feb;skilled employee or official;3 or more;no;no;bad
no checking account;48;all credits at this bank paid back duly;car (new);6331;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;real estate;46;none;own;3-Feb;skilled employee or official;0 to 2;yes;no;bad
no checking account;24;critical account or other credits elsewhere;car (used);3552;unknown or no savings account;4 between 7 yrs;20 between 25;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;27;bank;rent;1;skilled employee or official;0 to 2;no;no;bad
no checking account;12;critical account or other credits elsewhere;others;697;unknown or no savings account; less than  1 yr; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;46;bank;rent;3-Feb;skilled employee or official;0 to 2;yes;no;bad
no checking account;24;no credits taken or all credits paid back duly;others;1442;unknown or no savings account;4 between 7 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;23;none;for free;3-Feb;skilled employee or official;0 to 2;no;no;bad
no checking account;27;delay in paying off in the past;retraining;5293;unknown or no savings account;unemployed;25 between 35;male : married or widowed;none; more than  7 yrs;car or other;50;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;bad
no checking account;21;existing credits paid back duly till now;repairs;3414;unknown or no savings account; less than  1 yr;25 between 35;male : married or widowed;none; less than  1 yr;car or other;26;stores;rent;3-Feb;skilled employee or official;0 to 2;no;no;bad
no checking account;18;no credits taken or all credits paid back duly;car (used);2039;unknown or no savings account;1 between 4 yrs; more than  35;female : non-single or male : single;none; more than  7 yrs;unknown  or  no property;20;none;for free;1;skilled employee or official;0 to 2;no;no;bad
no checking account;24;critical account or other credits elsewhere;retraining;3161;unknown or no savings account;1 between 4 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;car or other;31;bank;for free;1;skilled employee or official;0 to 2;yes;no;bad
no checking account;12;no credits taken or all credits paid back duly;vacation;902;unknown or no savings account;4 between 7 yrs; less than  20;female : single;none; more than  7 yrs;car or other;21;none;for free;1;skilled employee or official;0 to 2;no;no;bad
no checking account;48;no credits taken or all credits paid back duly;car (new);10297;unknown or no savings account;4 between 7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;real estate;39;none;own;5-Apr;skilled employee or official;3 or more;yes;no;bad
less than 0 DM;48;delay in paying off in the past;retraining;14421;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;25;stores;rent;1;skilled employee or official;0 to 2;yes;no;bad
less than 0 DM;18;all credits at this bank paid back duly;others;1056;unknown or no savings account; more than  7 yrs;20 between 25;male : married or widowed;guarantor;4 between 7 yrs;unknown  or  no property;30;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;bad
no checking account;12;no credits taken or all credits paid back duly;others;1274;unknown or no savings account; less than  1 yr;20 between 25;female : non-single or male : single;none; less than  1 yr;unknown  or  no property;37;bank;rent;1;unskilled - resident;0 to 2;no;no;bad
less than 0 DM;12;no credits taken or all credits paid back duly;others;1223;unknown or no savings account; more than  7 yrs; more than  35;male : divorced or separated;none; less than  1 yr;unknown  or  no property;46;none;for free;3-Feb;skilled employee or official;0 to 2;no;no;bad
no checking account;12;no credits taken or all credits paid back duly;others;1372;unknown or no savings account;4 between 7 yrs;25 between 35;male : divorced or separated;none;4 between 7 yrs;building soc. savings agr. or life insurance;36;none;rent;1;skilled employee or official;0 to 2;no;no;bad
no checking account;16;all credits at this bank paid back duly;others;2625;unknown or no savings account; more than  7 yrs;25 between 35;male : married or widowed;guarantor; more than  7 yrs;car or other;43;none;for free;1;skilled employee or official;0 to 2;yes;yes;bad
no checking account;20;all credits at this bank paid back duly;others;2235;unknown or no savings account;1 between 4 yrs; less than  20;female : single;guarantor;1 between 4 yrs;car or other;33;bank;for free;3-Feb;skilled employee or official;0 to 2;no;yes;bad
less than 0 DM;9;no credits taken or all credits paid back duly;car (used);959;unknown or no savings account;1 between 4 yrs; more than  35;female : non-single or male : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;29;bank;rent;1;skilled employee or official;0 to 2;no;no;bad
less than 0 DM;18;all credits at this bank paid back duly;others;884;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;36;none;rent;1;skilled employee or official;3 or more;yes;no;bad
less than 0 DM;24;no credits taken or all credits paid back duly;others;1246;unknown or no savings account; less than  1 yr; less than  20;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;23;bank;rent;1;unskilled - resident;0 to 2;no;no;bad
less than 0 DM;36;existing credits paid back duly till now;others;8086;less than 100 DM; more than  7 yrs;25 between 35;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;42;stores;rent; more than  6;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
more than 200 DM or salary for at least 1 year;48;all credits at this bank paid back duly;others;10127;between 100 and 500 DM;1 between 4 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;real estate;44;none;own;1;skilled employee or official;0 to 2;no;no;bad
